Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Sun Feb 3 2013,1:00 pm,Los Angeles Lakers,98,Detroit Pistons,97,Box Score,,
Sun Feb 3 2013,2:00 pm,Miami Heat,100,Toronto Raptors,85,Box Score,,
Mon Feb 4 2013,7:00 pm,Chicago Bulls,101,Indiana Pacers,111,Box Score,,
Mon Feb 4 2013,7:30 pm,Charlotte Bobcats,94,Miami Heat,99,Box Score,,
Mon Feb 4 2013,7:00 pm,Portland Trail Blazers,100,Minnesota Timberwolves,98,Box Score,,
Mon Feb 4 2013,7:30 pm,Detroit Pistons,85,New York Knicks,99,Box Score,,
Mon Feb 4 2013,7:00 pm,Dallas Mavericks,91,Oklahoma City Thunder,112,Box Score,,
Mon Feb 4 2013,7:00 pm,Orlando Magic,61,Philadelphia 76ers,78,Box Score,,
Mon Feb 4 2013,7:00 pm,Sacramento Kings,91,Utah Jazz,98,Box Score,OT,
Mon Feb 4 2013,7:00 pm,Los Angeles Clippers,90,Washington Wizards,98,Box Score,,
Tue Feb 5 2013,7:30 pm,Los Angeles Lakers,92,Brooklyn Nets,83,Box Score,,
Tue Feb 5 2013,7:00 pm,Milwaukee Bucks,104,Denver Nuggets,112,Box Score,,
Tue Feb 5 2013,7:00 pm,Golden State Warriors,109,Houston Rockets,140,Box Score,,
Tue Feb 5 2013,7:00 pm,Atlanta Hawks,103,Indiana Pacers,114,Box Score,,
Tue Feb 5 2013,7:00 pm,Phoenix Suns,96,Memphis Grizzlies,90,Box Score,,
Wed Feb 6 2013,7:30 pm,Memphis Grizzlies,92,Atlanta Hawks,103,Box Score,,
Wed Feb 6 2013,7:00 pm,Charlotte Bobcats,95,Cleveland Cavaliers,122,Box Score,,
Wed Feb 6 2013,7:30 pm,Portland Trail Blazers,99,Dallas Mavericks,105,Box Score,,
Wed Feb 6 2013,7:30 pm,Brooklyn Nets,93,Detroit Pistons,90,Box Score,,
Wed Feb 6 2013,7:30 pm,Houston Rockets,108,Miami Heat,114,Box Score,,
Wed Feb 6 2013,8:00 pm,San Antonio Spurs,104,Minnesota Timberwolves,94,Box Score,,
Wed Feb 6 2013,7:00 pm,Phoenix Suns,84,New Orleans Hornets,93,Box Score,,
Wed Feb 6 2013,7:00 pm,Golden State Warriors,98,Oklahoma City Thunder,119,Box Score,,
Wed Feb 6 2013,7:00 pm,Los Angeles Clippers,86,Orlando Magic,76,Box Score,,
Wed Feb 6 2013,7:00 pm,Indiana Pacers,88,Philadelphia 76ers,69,Box Score,,
Wed Feb 6 2013,7:00 pm,Boston Celtics,99,Toronto Raptors,95,Box Score,,
Wed Feb 6 2013,7:00 pm,Milwaukee Bucks,86,Utah Jazz,100,Box Score,,
Wed Feb 6 2013,7:00 pm,New York Knicks,96,Washington Wizards,106,Box Score,,
Thu Feb 7 2013,8:00 pm,Los Angeles Lakers,95,Boston Celtics,116,Box Score,,
Thu Feb 7 2013,8:30 pm,Chicago Bulls,96,Denver Nuggets,128,Box Score,,
